dataset,trial,r2_train,r2_zero_test,seed,algorithm
687_sleuth_ex1605,8,0.8993772077053862,0.4492932210343382,6265,AlpineGP
687_sleuth_ex1605,9,0.8463813905689765,0.35433445968214,23654,AlpineGP
687_sleuth_ex1605,10,0.82365530969401,0.5426089359967071,11284,AlpineGP
712_chscase_geyser1,1,0.7754768204442705,0.8000167619472279,29802,AlpineGP
712_chscase_geyser1,2,0.8100640088531037,0.7428576110269922,22118,AlpineGP
712_chscase_geyser1,3,0.8174135521109909,0.7137933544067123,860,AlpineGP
712_chscase_geyser1,4,0.783880296286277,0.827524687868963,15795,AlpineGP
712_chscase_geyser1,5,0.8029596076982741,0.739537594117804,21575,AlpineGP
712_chscase_geyser1,6,0.813460905524079,0.6576466015088136,5390,AlpineGP
712_chscase_geyser1,7,0.7934928864156512,0.7781387458399945,11964,AlpineGP
712_chscase_geyser1,8,0.8038135731801734,0.767038330657756,6265,AlpineGP
712_chscase_geyser1,9,0.8266697402396943,0.6992921840266118,23654,AlpineGP
712_chscase_geyser1,10,0.7835487601800118,0.7844606793010143,11284,AlpineGP
505_tecator,1,0.989441223821236,0.9882357202466664,29802,AlpineGP
505_tecator,2,0.990004284769098,0.9888041302556118,22118,AlpineGP
505_tecator,3,0.9906496352562704,0.9871570168738452,860,AlpineGP
505_tecator,4,0.9841825663968088,0.972737276448234,15795,AlpineGP
505_tecator,5,0.9885206003045024,0.9908627391027388,21575,AlpineGP
505_tecator,6,0.9889277869330418,0.9913541042190454,5390,AlpineGP
505_tecator,7,0.9869180003317584,0.9925322927208606,11964,AlpineGP
505_tecator,8,0.989579565109158,0.9874342065373116,6265,AlpineGP
505_tecator,9,0.9847411465418396,0.9798403795711692,23654,AlpineGP
505_tecator,10,0.9885970116497446,0.9918494522864808,11284,AlpineGP
1096_FacultySalaries,1,0.9752342534975064,0.7772615309338157,29802,AlpineGP
1096_FacultySalaries,2,0.9773825059307222,0.9872986861745674,22118,AlpineGP
1096_FacultySalaries,3,0.9680124773344356,0.90976312168563,860,AlpineGP
1096_FacultySalaries,4,0.9996757503744214,0.1871531993700539,15795,AlpineGP
1096_FacultySalaries,5,0.9491434994486136,0.7357186178487087,21575,AlpineGP
1096_FacultySalaries,6,0.9981737415124744,-0.6885596672040324,5390,AlpineGP
1096_FacultySalaries,7,0.98581093930955,0.8780477935284048,11964,AlpineGP
1096_FacultySalaries,8,0.9828644867516187,0.954988316797423,6265,AlpineGP
1096_FacultySalaries,9,0.9644051531032536,0.9518108344535684,23654,AlpineGP
1096_FacultySalaries,10,0.9799350921333893,0.9824934410734564,11284,AlpineGP
1030_ERA,1,0.3623075877241013,0.44729855471482,29802,AlpineGP
1030_ERA,2,0.373942609476499,0.4241028725922473,22118,AlpineGP
1030_ERA,3,0.3776220073088722,0.4389337768141711,860,AlpineGP
1030_ERA,4,0.3871073149735177,0.3885124846031001,15795,AlpineGP
1030_ERA,5,0.3879229104118714,0.4027909211391994,21575,AlpineGP
1030_ERA,6,0.3946917886680393,0.376924485043393,5390,AlpineGP
1030_ERA,7,0.394980680019834,0.3743201811031458,11964,AlpineGP
1030_ERA,8,0.4014934774815427,0.3189604758150079,6265,AlpineGP
1030_ERA,9,0.3993201220288129,0.3440405797492587,23654,AlpineGP
1030_ERA,10,0.4017703752362227,0.3258488580768649,11284,AlpineGP
690_visualizing_galaxy,1,0.9692721306150928,0.9761589860932954,29802,AlpineGP
690_visualizing_galaxy,2,0.968430479831604,0.9513042187056888,22118,AlpineGP
690_visualizing_galaxy,3,0.9723687478591508,0.9593242054420548,860,AlpineGP
690_visualizing_galaxy,4,0.9766021348275128,0.9602527481401268,15795,AlpineGP
690_visualizing_galaxy,5,0.9681120982596064,0.9645128182642146,21575,AlpineGP
690_visualizing_galaxy,6,0.9628681402017482,0.969910363322565,5390,AlpineGP
690_visualizing_galaxy,7,0.96818339551957,0.9729357066458212,11964,AlpineGP
690_visualizing_galaxy,8,0.9669469639762858,0.9620357423676388,6265,AlpineGP
690_visualizing_galaxy,9,0.9726057450210938,0.9669334577970548,23654,AlpineGP
690_visualizing_galaxy,10,0.9696375417879564,0.9654590544932437,11284,AlpineGP
225_puma8NH,1,0.6748769614233749,0.6687756246892541,29802,AlpineGP
225_puma8NH,2,0.6668551231949853,0.687288781382261,22118,AlpineGP
225_puma8NH,3,0.6559659222842376,0.653230848224,860,AlpineGP
225_puma8NH,4,0.6802854806057191,0.6832113167657416,15795,AlpineGP
225_puma8NH,5,0.6752615599562913,0.6890242699509714,21575,AlpineGP
